Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,243.080002,245.750000,237.399994,239.580002,238.981430,25740000
2023-01-04,232.279999,232.869995,225.960007,229.100006,228.527618,50623400
2023-01-05,227.199997,227.550003,221.759995,222.309998,221.754562,39585600
2023-01-06,223.000000,225.759995,219.350006,224.929993,224.368011,43613600
2023-01-09,226.449997,231.240005,226.410004,227.119995,226.552551,27369800
2023-01-10,227.759995,231.309998,227.330002,228.850006,228.278229,27033900
2023-01-11,231.289993,235.949997,231.110001,235.770004,235.180939,28669300
2023-01-12,235.259995,239.899994,233.559998,238.509995,237.914093,27269500
2023-01-13,237.000000,239.369995,234.919998,239.229996,238.632294,21333300
2023-01-17,237.970001,240.910004,237.089996,240.350006,239.749512,29831300
2023-01-18,241.570007,242.380005,235.520004,235.809998,235.220840,30028700
2023-01-19,233.779999,235.520004,230.679993,231.929993,231.350525,28623000
2023-01-20,234.860001,240.740005,234.509995,240.220001,239.619827,35389800
2023-01-23,241.100006,245.169998,239.649994,242.580002,241.973923,31934000
2023-01-24,242.500000,243.949997,240.440002,242.039993,241.435272,40234400
2023-01-25,234.479996,243.300003,230.899994,240.610001,240.008850,66526600
2023-01-26,243.649994,248.309998,242.000000,248.000000,247.380386,33454500
2023-01-27,248.990005,249.830002,246.830002,248.160004,247.539993,26498900
2023-01-30,244.509995,245.600006,242.199997,242.710007,242.103607,25867400
2023-01-31,243.449997,247.949997,242.949997,247.809998,247.190857,26541100
2023-02-01,248.000000,255.179993,245.470001,252.750000,252.118515,31259900
2023-02-02,258.820007,264.690002,257.250000,264.600006,263.938904,39940400
2023-02-03,259.540009,264.200012,257.100006,258.350006,257.704529,29077300
2023-02-06,257.440002,258.299988,254.779999,256.769989,256.128448,22518000
2023-02-07,260.529999,268.769989,260.079987,267.559998,266.891510,50841400
2023-02-08,273.200012,276.760010,266.209991,266.730011,266.063599,54686000
2023-02-09,273.799988,273.980011,262.799988,263.619995,262.961365,42375100
2023-02-10,261.529999,264.089996,260.660004,263.100006,262.442657,25818500
2023-02-13,267.640015,274.600006,267.149994,271.320007,270.642120,44630900
2023-02-14,272.670013,274.970001,269.279999,272.170013,271.490021,37047900
2023-02-15,268.320007,270.730011,266.179993,269.320007,269.320007,28922400
2023-02-16,264.019989,266.739990,261.899994,262.149994,262.149994,29603600
2023-02-17,259.390015,260.089996,256.000000,258.059998,258.059998,30000100
2023-02-21,254.479996,255.490005,251.589996,252.669998,252.669998,28397400
2023-02-22,254.089996,254.339996,250.339996,251.509995,251.509995,22491100
2023-02-23,255.559998,256.839996,250.479996,254.770004,254.770004,29219100
2023-02-24,249.960007,251.000000,248.100006,249.220001,249.220001,24990900
2023-02-27,252.460007,252.820007,249.389999,250.160004,250.160004,21190000
2023-02-28,249.070007,251.490005,248.729996,249.419998,249.419998,22491000
2023-03-01,250.759995,250.929993,245.789993,246.270004,246.270004,27565300
2023-03-02,246.550003,251.399994,245.610001,251.110001,251.110001,24808200
2023-03-03,252.190002,255.619995,251.389999,255.289993,255.289993,30741300
2023-03-06,256.429993,260.119995,255.979996,256.869995,256.869995,24109800
2023-03-07,256.299988,257.690002,253.389999,254.149994,254.149994,21473200
2023-03-08,254.039993,254.539993,250.809998,253.699997,253.699997,17340200
2023-03-09,255.820007,259.559998,251.580002,252.320007,252.320007,26653400
2023-03-10,251.080002,252.789993,247.600006,248.589996,248.589996,28321800
2023-03-13,247.399994,257.910004,245.729996,253.919998,253.919998,33339700
2023-03-14,256.750000,261.070007,255.860001,260.790009,260.790009,33620300
2023-03-15,259.980011,266.480011,259.209991,265.440002,265.440002,46028000
2023-03-16,265.209991,276.559998,263.279999,276.200012,276.200012,54768800
2023-03-17,278.260010,283.329987,276.320007,279.429993,279.429993,69492200
